Batch_size;Epochs;Modello;Train_acc;Test_acc;Test_acc_std
64;40;adv1_model;0.858857512;0.551617968;0.013000149
64;40;adv1_model;0.862858415;0.552281213;0.032099925
64;50;adv1_model;0.888864219;0.529357314;0.03652494
64;50;adv1_model;0.883307397;0.549771845;0.024414269
64;50;adv1_model;0.89553237;0.540689743;0.02172558
64;70;adv1_model;0.9233163;0.555247879;0.034411632
64;70;adv1_model;0.919759929;0.551368809;0.006428704
64;70;adv1_model;0.936652601;0.558710897;0.018505743
64;100;adv1_model;0.961769283;0.536429274;0.009223056
64;100;adv1_model;0.934429884;0.557899129;0.017620392
64;100;adv1_model;0.95576793;0.549346888;0.020570715
128;40;adv1_model;0.844854414;0.546578139;0.039453249
128;40;adv1_model;0.834852219;0.558843148;0.018716149
128;40;adv1_model;0.831740379;0.556775784;0.033380214
128;50;adv1_model;0.859302044;0.55163368;0.018694302
128;50;adv1_model;0.85485661;0.559124434;0.017147226
128;50;adv1_model;0.867081583;0.56040746;0.018231715
128;70;adv1_model;0.903089583;0.552460051;0.024422128
128;70;adv1_model;0.892642796;0.551379907;0.022620238
128;70;adv1_model;0.899088681;0.552719176;0.01511856
128;100;adv1_model;0.945543468;0.541171873;0.025519112
128;100;adv1_model;0.936430335;0.558278644;0.019142115
128;100;adv1_model;0.946654797;0.566937566;0.020197989
32;40;adv2_model;0.768615246;0.518095112;0.047381333
32;40;adv2_model;0.773282945;0.533426803;0.029568218
32;40;adv2_model;0.75038898;0.520387578;0.024717001
32;50;adv2_model;0.802400529;0.546134806;0.029119432
32;50;adv2_model;0.818181813;0.546229553;0.017338179
32;50;adv2_model;0.790842414;0.522559768;0.019460845
32;70;adv2_model;0.825739026;0.525777006;0.01988477
32;70;adv2_model;0.813958645;0.514118069;0.022617815
32;70;adv2_model;0.83529675;0.552572417;0.011587963
32;100;adv2_model;0.85796845;0.523778993;0.019226141
32;100;adv2_model;0.878195167;0.534744465;0.025359274
32;100;adv2_model;0.868859768;0.54552865;0.026366576
64;40;adv2_model;0.748388529;0.523232424;0.036148028
64;40;adv2_model;0.712602794;0.499450201;0.02504293
64;40;adv2_model;0.739942193;0.529224646;0.018655879
64;50;adv2_model;0.766170263;0.514479417;0.0374319
64;50;adv2_model;0.771727026;0.514276707;0.040714188
64;50;adv2_model;0.761947095;0.528536785;0.018432966
64;70;adv2_model;0.784396529;0.514195222;0.021118776
64;70;adv2_model;0.823738635;0.560169637;0.027729383
64;70;adv2_model;0.809513211;0.531982946;0.010336093
64;100;adv2_model;0.81884861;0.531250757;0.030951916
64;100;adv2_model;0.835741282;0.529506636;0.015007061
64;100;adv2_model;0.858412981;0.540112066;0.014425266
128;40;adv2_model;0.703267395;0.505037326;0.027224593
128;40;adv2_model;0.684152007;0.511071688;0.018658279
128;40;adv2_model;0.702822864;0.494587529;0.026957872
128;50;adv2_model;0.714603245;0.516139579;0.029360254
128;50;adv2_model;0.72416091;0.538093162;0.029436156
128;50;adv2_model;0.711046875;0.522857648;0.019721648
128;70;adv2_model;0.751278043;0.534915221;0.022200284
128;70;adv2_model;0.746165812;0.542604327;0.026407248
128;70;adv2_model;0.780173361;0.540994048;0.030638552
128;100;adv2_model;0.819737732;0.532811517;0.026674134
128;100;adv2_model;0.80906868;0.517411768;0.031024104
128;100;adv2_model;0.803067327;0.550756192;0.011831942
32;50;raw_model;0.6944;0.475785494;
16;70;raw_model;0.7842;0.4486;
16;100;raw_model;0.8246;0.4843;
